GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
todo-app,default,TodoItem,0,25,0,0,0,9,0,5,0,5
todo-app,default,TodoService,0,22,0,0,0,7,0,4,0,4
todo-app,default,TodoRepository,0,49,0,0,0,8,0,4,0,4
todo-app,default,Main,3,133,0,9,1,37,1,7,1,1
